region_code,region_id,raid_day,alerts_count,total_minutes,night_minutes
kyiv_city,1,2022-02-24,1,281.0,0.0
kyiv_city,1,2022-02-25,2,1225.0,480.0
kyiv_city,1,2022-02-26,0,1440.0,480.0
kyiv_oblast,2,2022-02-26,1,30.0,0.0
kyiv_city,1,2022-02-27,2,1258.0,480.0
kyiv_oblast,2,2022-02-27,2,60.0,0.0
kyiv_city,1,2022-02-28,9,469.0,52.0
kyiv_oblast,2,2022-02-28,2,937.0,480.0
kyiv_city,1,2022-03-01,7,448.0,105.0
kyiv_oblast,2,2022-03-01,3,990.0,480.0
kyiv_city,1,2022-03-02,8,864.0,330.0
kyiv_oblast,2,2022-03-02,1,30.0,0.0
kyiv_city,1,2022-03-03,5,394.0,141.0
kyiv_oblast,2,2022-03-03,2,40.0,20.0
kyiv_city,1,2022-03-04,6,1126.0,464.0
kyiv_oblast,2,2022-03-04,3,376.0,221.0
kyiv_city,1,2022-03-05,6,330.0,126.0
kyiv_oblast,2,2022-03-05,1,11.0,0.0
kyiv_city,1,2022-03-06,4,501.0,151.0
kyiv_oblast,2,2022-03-06,1,33.0,0.0
kyiv_city,1,2022-03-07,3,318.0,0.0
kyiv_oblast,2,2022-03-07,1,30.0,0.0
kyiv_city,1,2022-03-08,6,294.0,141.0
kyiv_oblast,2,2022-03-08,3,82.0,30.0
kyiv_city,1,2022-03-09,8,593.0,193.0
kyiv_oblast,2,2022-03-09,1,92.0,92.0
kyiv_city,1,2022-03-10,8,638.0,236.0
kyiv_oblast,2,2022-03-10,2,123.0,0.0
kyiv_city,1,2022-03-11,7,581.0,201.0
kyiv_oblast,2,2022-03-11,2,306.0,137.0
kyiv_city,1,2022-03-12,4,316.0,149.0
kyiv_oblast,2,2022-03-12,1,186.0,137.0
kyiv_city,1,2022-03-13,5,715.0,223.0
kyiv_city,1,2022-03-14,9,606.0,203.0
kyiv_oblast,2,2022-03-14,2,46.0,32.0
kyiv_city,1,2022-03-15,6,722.0,248.0
kyiv_oblast,2,2022-03-15,3,503.0,188.0
kyiv_city,1,2022-03-16,7,499.0,175.0
kyiv_oblast,2,2022-03-16,4,249.0,136.0
kyiv_city,1,2022-03-17,8,447.0,115.0
kyiv_oblast,2,2022-03-17,2,252.0,32.0
kyiv_city,1,2022-03-18,8,360.0,93.0
kyiv_oblast,2,2022-03-18,2,140.0,77.0
kyiv_city,1,2022-03-19,5,305.0,149.0
kyiv_oblast,2,2022-03-19,3,237.0,90.0
kyiv_city,1,2022-03-20,6,481.0,234.0
kyiv_oblast,2,2022-03-20,3,163.0,84.0
kyiv_city,1,2022-03-21,8,650.0,89.0
kyiv_oblast,2,2022-03-21,6,509.0,85.0
kyiv_city,1,2022-03-22,6,517.0,0.0
kyiv_oblast,2,2022-03-22,5,369.0,0.0
kyiv_city,1,2022-03-23,7,480.0,127.0
kyiv_oblast,2,2022-03-23,5,341.0,130.0
kyiv_city,1,2022-03-24,5,292.0,22.0
kyiv_oblast,2,2022-03-24,3,284.0,23.0
kyiv_city,1,2022-03-25,7,634.0,82.0
kyiv_oblast,2,2022-03-25,5,641.0,70.0
kyiv_city,1,2022-03-26,3,354.0,32.0
kyiv_oblast,2,2022-03-26,3,337.0,21.0
kyiv_city,1,2022-03-27,5,480.0,317.0
kyiv_oblast,2,2022-03-27,4,429.0,285.0
kyiv_city,1,2022-03-28,7,437.0,52.0
kyiv_oblast,2,2022-03-28,6,410.0,40.0
kyiv_city,1,2022-03-29,10,591.0,139.0
kyiv_oblast,2,2022-03-29,10,579.0,129.0
kyiv_city,1,2022-03-30,2,168.0,76.0
