кандидат,log-loss,Brier,ROC-AUC,Δ до кліматології,95% ДІ різниці,краще значуще
кліматологія 30,0.6820104074565151,0.2447946859903382,0.5669423468776219,0.0,"[+0.0000, +0.0000]",ні
кліматологія 60,0.6893736796762516,0.24819444444444444,0.5577729833393263,0.0073632722197365386,"[-0.0193, +0.0282]",ні
Random Forest,0.6900703720895682,0.24889231078462437,0.5554356945942707,0.00805996463305314,"[-0.0201, +0.0322]",ні
кліматологія 90,0.6942354777042272,0.25048711755233494,0.5398537696272324,0.012225070247712133,"[-0.0239, +0.0450]",ні
кліматологія 14,0.7037884930002266,0.2525787488908607,0.5792880258899676,0.021778085543711523,"[-0.0067, +0.0472]",ні
Медіана 4 моделей,0.7088880713129673,0.2568678694388318,0.573414838787007,0.026877663856452183,"[-0.0120, +0.0642]",ні
HistGB,0.7157607587294617,0.2602397580536889,0.5650245714970634,0.033750351272946566,"[-0.0222, +0.0861]",ні
XGBoost,0.7405689358711243,0.26921501755714417,0.5502816732590196,0.058558550806843246,"[+0.0147, +0.1057]",ні
кліматологія 7,0.7727232432348317,0.27298110026619343,0.555735346997483,0.09071283577831657,"[+0.0374, +0.1437]",ні
LogReg L2,0.8623617114390519,0.30167033705625934,0.6309481002037637,0.18035130398253685,"[+0.0740, +0.3028]",ні
